iter	RMSE
164	0.1639609185
165	0.1636681099
166	0.1633635799
167	0.1630850375
168	0.1628781251
169	0.1626841982
170	0.1623147877
171	0.1619672958
172	0.1617004892
173	0.1615477722
174	0.1613939402
175	0.1612151472
176	0.1608949962
177	0.1605515266
178	0.1603003212
179	0.1600621186
180	0.1598609651
181	0.1595157106
182	0.159261203
183	0.1590312102
184	0.1587361113
185	0.1583978453
186	0.1581724405
187	0.1579087915
188	0.1577119567
189	0.1575044522
190	0.1572685464
191	0.1569896728
192	0.1567040998
193	0.1565368061
194	0.1562997585
195	0.1561296972
196	0.1557915463
197	0.155481032
198	0.155366905
199	0.1551829383
200	0.1549554142
201	0.1547368226
202	0.1544598143
203	0.1541616797
204	0.1539613691
205	0.1537274124
206	0.1534923313
207	0.1531654377
208	0.15296408
209	0.1528476193
210	0.1525064938
211	0.1522455213
212	0.1520199491
213	0.1517885381
214	0.1514623246
215	0.1512801894
216	0.1509949606
217	0.1508522434
218	0.1506965297
219	0.1503886006
220	0.1501503979
221	0.1499834871
222	0.1498508139
223	0.1496549832
224	0.1494926812
225	0.1492504506
226	0.1489569351
227	0.1486367373
228	0.1484082065
229	0.1482570991
230	0.1479321804
231	0.1476834718
232	0.1474003376
233	0.1472793184
234	0.1471402852
235	0.1468600433
236	0.146621814
237	0.1464414275
238	0.1462680322
239	0.1459866764
240	0.1457398643
241	0.1455740381
242	0.1454435598
243	0.145198171
244	0.145002815
245	0.1448229339
246	0.1446239923
247	0.1444512117
248	0.1443018617
249	0.1439952793
250	0.1437983413
251	0.1434927499
252	0.1431970658
253	0.1429557174
254	0.1427349378
255	0.1426101631
256	0.1422776222
257	0.1420112606
258	0.1418462546
259	0.1416601695
260	0.1414801679
261	0.1412887565
262	0.1411262093
263	0.1408729078
264	0.1406202774
265	0.1404656789
266	0.1402067308
267	0.1400098687
268	0.1398103965
269	0.139566768
270	0.1393388057
271	0.1391522642
272	0.1389906103
273	0.1388141052
274	0.1386851847
275	0.1385454225
276	0.1383090234
277	0.1381202107
278	0.1379152022
279	0.1377578789
280	0.1376291069
281	0.137395899
282	0.1372313585
283	0.1370668096
284	0.1368696956
285	0.1366257021
286	0.1364484685
287	0.1362250106
288	0.136008077
289	0.135766717
290	0.1355164692
291	0.1353607347
292	0.135188739
293	0.1349822334
294	0.1348747721
295	0.1347140042
296	0.1345600569
297	0.1344029029
298	0.1342681699
299	0.1340878276
300	0.1338277308
301	0.1335666857
302	0.1333720615
303	0.1332036651
304	0.1330216714
305	0.1327356024
306	0.1324902471
307	0.1323837185
308	0.1321847173
309	0.1320272614
310	0.1318215273
311	0.1316482588
312	0.1315029359
313	0.1313263139
314	0.1311242752
315	0.1309551985
316	0.1307953992
317	0.1305766226
318	0.1303821752
319	0.1301388911
320	0.1299994215
321	0.1298309309
322	0.1297076777
323	0.1295184574
324	0.1293787745
325	0.1292402991
326	0.1290910769
327	0.1289194778
328	0.128800866
329	0.1287013899
330	0.1285640125
331	0.1284759054
332	0.1283319807
333	0.1282149315
334	0.1280963245
335	0.1278739904
336	0.1276132986
337	0.1274417565
338	0.1273525508
339	0.127203362
340	0.1269600855
341	0.1268061012
342	0.1266998774
343	0.126582637
344	0.1264587601
345	0.126222694
346	0.1261171998
347	0.1259941917
348	0.125819725
349	0.125664068
350	0.1255626701
351	0.1253844691
352	0.1251926401
353	0.1250699278
354	0.1249045601
355	0.124739001
356	0.1245477159
357	0.1243205798
358	0.1241153121
359	0.1239464943
360	0.1237448645
361	0.1236472584
362	0.1234640321
363	0.12331088
364	0.1231388547
365	0.1230034085
366	0.1228329067
367	0.1226561274
368	0.1225006202
369	0.1223484769
370	0.1221577206
371	0.1220265814
372	0.1218596852
373	0.1217123179
374	0.1215562155
375	0.1213606399
376	0.1212096543
377	0.1211188654
378	0.1209985613
379	0.1208977384
380	0.1207678761
381	0.1205884987
382	0.1204138941
383	0.1202005271
384	0.1200508855
385	0.119907397
386	0.1197580957
387	0.1196265005
388	0.1194976842
389	0.119365144
390	0.1192125704
391	0.1190427959
392	0.1189067142
393	0.118753201
394	0.1186389686
395	0.1184709182
396	0.1183498116
397	0.1181967634
398	0.1180214607
399	0.117935379
400	0.1177238919
401	0.1175635185
402	0.1173630077
403	0.1172633172
404	0.1170834932
405	0.1168657052
406	0.1167931786
407	0.1166631015
408	0.1164702372
409	0.116342247
410	0.116211448
411	0.1160507029
412	0.1159029549
413	0.1158027616
414	0.1156728505
415	0.1155603323
416	0.1154304611
417	0.1153483345
418	0.11524428
419	0.1151341756
420	0.11506125
421	0.1149116054
422	0.1147805372
423	0.1146562391
424	0.1145248391
425	0.1143670908
426	0.1142421082
427	0.1141091546
428	0.1139683684
429	0.113862262
430	0.1137405051
431	0.1136201303
432	0.1135155026
433	0.1134185983
434	0.1132816584
435	0.1131310883
436	0.1129660324
437	0.1128181724
438	0.1127123889
439	0.1125653395
440	0.1124758648
441	0.1123131409
442	0.1121200423
443	0.111907764
444	0.1117574317
445	0.1116179886
446	0.1114651672
447	0.1113698058
448	0.1112721209
449	0.1111790879
450	0.1110595208
451	0.1109716418
452	0.1108886754
453	0.1107562165
454	0.1106411231
455	0.110510268
456	0.1104043887
457	0.1103344246
458	0.1102221867
459	0.1100391859
460	0.1099857114
461	0.1098008952
462	0.1096890772
463	0.1095860725
464	0.1094902643
465	0.1094025387
466	0.1093224552
467	0.1091955159
468	0.109052613
469	0.1089483475
470	0.1088787338
471	0.1087053563
472	0.1085984253
473	0.1084896208
474	0.1083958672
475	0.1082987895
476	0.1080631636
477	0.1078606865
478	0.107774401
479	0.1077060714
480	0.1075768974
481	0.1074502783
482	0.1073447438
483	0.107198305
484	0.1070472287
485	0.1069117853
486	0.1067765943
487	0.1067154732
488	0.1065790443
489	0.1064336101
490	0.1062259427
491	0.1061414242
492	0.1060471229
493	0.1059346383
494	0.1057916275
495	0.1057279795
496	0.1056251744
497	0.1055048491
498	0.1053996187
499	0.1052570739
500	0.1051419611
501	0.1050598298
502	0.1049421597
503	0.1048436495
504	0.104713119
505	0.1046149782
506	0.1045299989
507	0.1044599134
508	0.1043322
509	0.1042305947
510	0.1040707026
511	0.1039762316
512	0.1038607553
513	0.1037127964
514	0.1035649184
515	0.1034535728
516	0.1033126899
517	0.1031910605
518	0.1030970688
519	0.1029622261
520	0.1028576938
521	0.1027607289
522	0.1026753878
523	0.1025417643
524	0.1024506183
525	0.1023043063
526	0.1022223469
527	0.1020828935
528	0.1019652261
529	0.1018780344
530	0.1017897515
531	0.10172658
532	0.1015389606
533	0.1014460066
534	0.1013177126
535	0.1012362929
536	0.1011495393
537	0.1010442337
538	0.1009219031
539	0.1007783976
540	0.1006724315
541	0.1004867427
542	0.1003779752
543	0.1002755151
544	0.1002165503
545	0.1001509204
546	0.1000339291
547	0.09994514818
548	0.09989044559
549	0.09972593348
550	0.09963595049
551	0.09957561891
552	0.09950288874
553	0.099389328
554	0.09923900596
555	0.09915998236
556	0.09908462489
557	0.09893702887
558	0.09886936988
559	0.09879638486
560	0.09872149278
561	0.09865603507
562	0.09856844574
563	0.09847826426
564	0.09843027769
565	0.09835259398
566	0.09823135839
567	0.09811480548
568	0.09803684559
569	0.09790969111
570	0.09782096769
571	0.09770997851
572	0.09760557274
573	0.09747993681
574	0.0974110038
575	0.09728979494
576	0.09721982908
577	0.09710478262
578	0.09699603688
579	0.09689857768
580	0.09678486878
581	0.09671251255
582	0.09661086276
583	0.09653486702
584	0.09646801293
585	0.09635722032
586	0.09626375148
587	0.09616199997
588	0.09607698697
589	0.09599134719
590	0.09592325026
591	0.09581959165
592	0.09575118972
593	0.09569976996
594	0.09560605493
595	0.09550943151
596	0.09535107067
597	0.09530489799
598	0.09521409734
599	0.09507825562
600	0.09492328718
601	0.09480250862
602	0.09476340665
603	0.09465649276
604	0.09455291361
605	0.09446262114
606	0.09439307343
607	0.09431959655
608	0.09420694178
609	0.09411818526
610	0.09405004947
611	0.09395445598
612	0.09388553595
613	0.09381058421
614	0.09368562225
615	0.09359261629
616	0.09350246796
617	0.09343479201
618	0.09334694692
619	0.09326435062
620	0.09316470183
621	0.09310045415
622	0.09301955871
623	0.09294651143
624	0.09284310557
625	0.09279491469
626	0.09276607683
627	0.09266532562
628	0.09259580092
629	0.09254166838
630	0.09244343466
631	0.09237001476
632	0.09225956664
633	0.09213609293
634	0.09204293784
635	0.09193193379
636	0.09180940762
637	0.09171560937
638	0.09166140947
639	0.09157696718
640	0.09151289128
641	0.09145001387
642	0.09135886757
643	0.0912553104
644	0.09116358171
645	0.09110908374
646	0.09102782243
647	0.09091210674
648	0.09083987954
649	0.09072009321
650	0.09060677056
651	0.09051141482
652	0.09042349122
653	0.09032732202
654	0.09018280205
655	0.09011433962
656	0.08998225996
657	0.08991599398
658	0.08980066253
659	0.08969378902
660	0.08959838894
661	0.08953820465
662	0.08949403952
663	0.08942896132
664	0.08934432197
665	0.08927078862
666	0.08916916785
667	0.08907241714
668	0.08894955969
669	0.08888162598
670	0.08877475972
671	0.08870864249
672	0.08862812851
673	0.08850648511
674	0.08844067058
675	0.08835089307
676	0.08828171686
677	0.08824984529
678	0.0881247574
679	0.08803611245
680	0.08791395619
681	0.08783192949
682	0.08771587322
683	0.0876475672
684	0.08757734667
685	0.08751430139
686	0.08739143588
687	0.08730465242
688	0.08722988429
689	0.08715925368
690	0.08702146686
691	0.0869498039
692	0.08692427607
693	0.08687045367
694	0.08680657382
695	0.08672052314
696	0.08667366279
697	0.08658530097
698	0.08653650844
699	0.08649764978
700	0.0864461409
701	0.08638096627
702	0.08633692697
703	0.08626977596
704	0.08621271129
705	0.08617048768
706	0.08611971636
707	0.08604918211
708	0.08594572859
709	0.08590548054
710	0.08580710379
711	0.08570534198
712	0.08562879797
713	0.0855700126
714	0.08553168172
715	0.08547162032
716	0.08543233575
717	0.08537797055
718	0.08532927326
719	0.08525887357
720	0.08519829847
721	0.08509795556
722	0.08500653361
723	0.08493451016
724	0.084854503
725	0.0847409818
726	0.08463716847
727	0.08453815362
728	0.08447983991
729	0.08439003207
730	0.08425629345
731	0.08418401638
732	0.0840982835
733	0.08404155434
734	0.08401778612
735	0.08395411148
736	0.08389502529
737	0.08381020823
738	0.0837354411
739	0.08367062289
740	0.08354828224
741	0.08346571431
742	0.08340073636
743	0.08333522478
744	0.08327559992
745	0.08321880132
746	0.08312927555
747	0.08303603545
748	0.08295892448
749	0.08288164259
750	0.08278466035
751	0.08273273996
752	0.0827028141
753	0.08262122351
754	0.08251524585
755	0.08243820617
756	0.08233580322
757	0.08226196334
758	0.08220805755
759	0.0820986559
760	0.08202893922
761	0.08193579581
762	0.08188587395
763	0.08182997196
764	0.08173403696
765	0.08167194244
766	0.08160202582
767	0.08152944214
768	0.08147400079
769	0.08139889761
770	0.0813573185
771	0.08129220735
772	0.08123305729
773	0.08116000317
774	0.08110426319
775	0.08104008669
776	0.080980253
777	0.08088783087
778	0.08084824753
779	0.08077101949
780	0.08067633989
781	0.08063081505
782	0.08056990255
783	0.08050280545
784	0.08044521112
785	0.08038581476
786	0.08034081384
787	0.08028194503
788	0.08020280887
789	0.08013634819
790	0.08006251582
791	0.07997409071
792	0.07991512122
793	0.07982731844
794	0.079743931
795	0.07965679968
796	0.07961016999
797	0.07953042756
798	0.0794978423
799	0.07943836031
800	0.07936230414
801	0.07931368374
802	0.07927073445
803	0.0792303023
804	0.079167436
805	0.07909307301
806	0.07903325399
807	0.07897884454
808	0.07890320047
809	0.07881998967
810	0.07875293118
811	0.07869582853
812	0.07863800757
813	0.07855759435
814	0.07851151079
815	0.078458556
816	0.07840559562
817	0.07831621609
818	0.078249591
819	0.07821580876
820	0.07815299793
821	0.07807662112
822	0.07799246965
823	0.07793778168
824	0.07788521581
825	0.07777508687
826	0.07768402317
827	0.07762194636
828	0.07751936017
829	0.07746198442
830	0.07738146364
831	0.0773152689
832	0.07724992429
833	0.07720724649
834	0.07713244733
835	0.07703722657
836	0.07697195373
837	0.07692359773
838	0.07687740935
839	0.07682475358
840	0.07679175141
841	0.0767478633
842	0.0767050814
843	0.07659874723
844	0.07654566924
845	0.07643795253
846	0.07636415455
847	0.07629789214
848	0.07623732909
849	0.07616279885
850	0.07608829315
851	0.0760321569
852	0.07600939203
853	0.07597314992
854	0.07592546199
855	0.07586782419
856	0.07577557747
857	0.07568438527
858	0.07563714946
859	0.07556415376
860	0.07550226533
861	0.07538045662
862	0.07533923589
863	0.07525211532
864	0.07515657335
865	0.07511848031
866	0.07506412425
867	0.07501132203
868	0.07494024475
869	0.07484508342
870	0.07474802235
871	0.07466890079
872	0.07458312336
873	0.07449037782
874	0.07443446526
875	0.07436574172
876	0.0742849422
877	0.07424315987
878	0.07415867507
879	0.07408659747
880	0.07401178576
881	0.07396195625
882	0.07389201882
883	0.07383095989
884	0.07379328524
885	0.07368239494
886	0.07364604336
887	0.07359634318
888	0.07352954335
889	0.073464486
890	0.07341307869
891	0.07335590921
892	0.07330946447
893	0.07323607623
894	0.07317321928
895	0.07312567855
896	0.07306980499
897	0.07300821733
898	0.07297215303
899	0.07294269151
900	0.07286861639
901	0.07282552419
902	0.07275875675
903	0.07271046263
904	0.07265641995
905	0.07259761921
906	0.07253399198
907	0.07247666958
908	0.0724079899
909	0.07235334104
910	0.07227416352
911	0.07222845006
912	0.07217935006
913	0.07210926241
914	0.0720485145
915	0.07202074775
916	0.07196527849
917	0.0718850556
918	0.07182049087
919	0.07174950389
920	0.07168226977
921	0.07164367845
922	0.07158519679
923	0.07154420015
924	0.07149346896
925	0.07140547026
926	0.07131611555
927	0.07124546292
928	0.07116965284
929	0.07113603415
930	0.07102045473
931	0.07098046938
932	0.07094315903
933	0.07088957036
934	0.07084224815
935	0.07080033011
936	0.07075284207
937	0.07071035582
938	0.07065127029
939	0.07058289801
940	0.07052812093
941	0.07047043729
942	0.07040878242
943	0.07034281871
944	0.07023547495
945	0.07017820341
946	0.07014255036
947	0.0700799039
948	0.07002524866
949	0.06997944749
950	0.06990062111
951	0.06984754161
952	0.06979163638
953	0.06972876084
954	0.06966108706
955	0.0696000028
956	0.06956368508
957	0.06951398935
958	0.06945536891
959	0.06941789635
960	0.06935546947
961	0.06927310156
962	0.06922786019
963	0.06918273738
964	0.06912358792
965	0.06907647101
966	0.06901651537
967	0.06900099298
968	0.06895406073
969	0.06891264346
970	0.0688698068
971	0.06882038225
972	0.06877887253
973	0.06872708299
974	0.06869419133
975	0.06866176084
976	0.06861810289
977	0.06853982681
978	0.06850849345
979	0.06844588533
980	0.06839373263
981	0.06835469465
982	0.0683063992
983	0.06825462899
984	0.06819420456
985	0.06813281385
986	0.06809566498
987	0.06806122401
988	0.06802723442
989	0.06798463048
990	0.06794368392
991	0.06788160214
992	0.06783872126
993	0.06777656439
994	0.06773718905
995	0.06768678712
996	0.06762684861
997	0.06759709681
998	0.06753995151
999	0.06747865204
