iter	Passed	Remaining
0	11	11102
1	18	9060
2	25	8337
3	32	8053
4	39	7883
5	46	7781
6	53	7642
7	62	7730
8	69	7669
9	77	7671
10	85	7667
11	93	7663
12	100	7632
13	108	7676
14	116	7672
15	124	7665
16	131	7631
17	138	7575
18	147	7598
19	154	7556
20	162	7588
21	169	7546
22	177	7520
23	183	7464
24	190	7441
25	197	7402
26	204	7355
27	210	7324
28	217	7281
29	224	7260
30	231	7229
31	238	7204
32	245	7190
33	251	7155
34	258	7139
35	265	7111
36	272	7086
37	278	7056
38	285	7026
39	292	7009
40	298	6982
41	305	6961
42	312	6951
43	319	6943
44	327	6940
45	333	6926
46	341	6918
47	347	6896
48	354	6882
49	361	6865
50	367	6846
51	375	6840
52	381	6819
53	388	6810
54	395	6796
55	402	6779
56	410	6789
57	417	6777
58	424	6774
59	431	6754
60	438	6747
61	444	6728
62	451	6709
63	458	6698
64	464	6683
65	471	6670
66	478	6659
67	485	6653
68	492	6644
69	498	6628
70	505	6620
71	512	6604
72	519	6597
73	525	6581
74	532	6566
75	539	6557
76	545	6542
77	553	6537
78	559	6521
79	565	6507
80	573	6508
81	580	6493
82	586	6484
83	593	6471
84	599	6458
85	606	6448
86	613	6435
87	620	6426
88	626	6413
89	632	6400
90	639	6390
91	646	6376
92	653	6369
93	660	6363
94	667	6359
95	674	6355
96	681	6344
97	688	6339
98	695	6326
99	701	6316
100	708	6309
101	715	6297
102	722	6287
103	728	6275
104	734	6264
105	741	6252
106	747	6241
107	754	6232
108	761	6221
109	767	6211
110	774	6203
111	780	6191
112	787	6182
113	793	6170
114	800	6162
115	807	6152
116	813	6141
117	820	6134
118	827	6125
119	834	6116
120	840	6105
121	846	6095
122	853	6087
123	860	6080
124	868	6076
125	874	6066
126	881	6059
127	887	6048
128	894	6038
129	901	6031
130	907	6021
131	914	6016
132	921	6005
133	927	5994
134	934	5987
135	940	5977
136	948	5973
137	955	5967
138	961	5956
139	969	5953
140	975	5944
141	982	5935
142	988	5924
143	995	5916
144	1001	5908
145	1008	5900
146	1015	5893
147	1022	5886
