iter	Passed	Remaining
148	1029	5880
149	1035	5870
150	1042	5861
151	1049	5855
152	1056	5849
153	1063	5842
154	1070	5834
155	1076	5825
156	1083	5818
157	1089	5808
158	1096	5800
159	1103	5792
160	1109	5782
161	1116	5776
162	1123	5769
163	1130	5761
164	1136	5753
165	1143	5745
166	1150	5737
167	1156	5728
168	1163	5722
169	1170	5714
170	1177	5706
171	1183	5697
172	1190	5689
173	1196	5681
174	1203	5672
175	1210	5666
176	1216	5657
177	1223	5651
178	1230	5644
179	1237	5635
180	1243	5627
181	1250	5618
182	1256	5610
183	1263	5605
184	1270	5597
185	1277	5590
186	1283	5581
187	1290	5572
188	1297	5565
189	1304	5562
190	1313	5561
191	1320	5556
192	1327	5552
193	1334	5544
194	1341	5537
195	1347	5529
196	1354	5520
197	1361	5513
198	1367	5505
199	1374	5498
200	1381	5491
201	1387	5482
202	1395	5479
203	1402	5471
204	1409	5465
205	1416	5458
206	1422	5450
207	1429	5444
208	1436	5435
209	1443	5428
210	1449	5419
211	1455	5411
212	1463	5405
213	1469	5398
214	1476	5391
215	1483	5383
216	1490	5378
217	1497	5373
218	1504	5365
219	1511	5360
220	1518	5353
221	1525	5346
222	1531	5337
223	1538	5329
224	1544	5321
225	1551	5312
226	1558	5308
227	1565	5299
228	1572	5292
229	1578	5284
230	1584	5275
231	1591	5269
232	1598	5260
233	1604	5253
234	1611	5245
235	1617	5236
236	1624	5230
237	1631	5222
238	1637	5214
239	1644	5207
240	1650	5198
241	1657	5193
242	1664	5184
243	1670	5177
244	1677	5169
245	1683	5161
246	1690	5153
247	1696	5145
248	1703	5138
249	1710	5130
250	1716	5122
251	1723	5116
252	1730	5108
253	1737	5102
254	1743	5094
255	1750	5086
256	1757	5080
257	1763	5072
258	1770	5065
259	1777	5057
260	1783	5049
261	1790	5043
262	1796	5035
263	1803	5028
264	1810	5021
265	1816	5013
266	1823	5006
267	1830	4998
268	1837	4992
269	1843	4984
270	1850	4977
271	1857	4971
272	1863	4963
273	1870	4957
274	1877	4949
275	1884	4942
276	1891	4935
277	1897	4928
278	1904	4922
279	1911	4914
280	1918	4908
281	1924	4901
282	1931	4893
283	1939	4888
284	1945	4881
285	1953	4875
286	1959	4868
287	1966	4861
288	1973	4854
289	1979	4847
290	1987	4841
291	1993	4834
292	2000	4827
293	2007	4820
294	2014	4813
295	2021	4808
296	2028	4801
297	2035	4795
298	2043	4790
299	2051	4787
300	2059	4782
301	2067	4777
302	2074	4771
303	2080	4764
304	2088	4758
305	2095	4752
306	2102	4746
307	2109	4739
308	2117	4734
309	2123	4727
310	2130	4720
311	2137	4714
312	2144	4706
313	2152	4701
314	2158	4694
315	2166	4688
316	2173	4682
317	2180	4675
318	2187	4669
319	2194	4662
320	2201	4657
321	2209	4651
322	2216	4646
323	2223	4639
324	2230	4633
325	2238	4627
326	2246	4623
327	2254	4618
328	2261	4612
329	2269	4608
330	2277	4602
331	2285	4599
332	2293	4594
333	2301	4589
334	2309	4584
335	2317	4580
336	2325	4574
337	2332	4567
338	2338	4559
339	2345	4552
340	2351	4545
341	2358	4537
342	2365	4530
343	2371	4523
344	2378	4516
345	2385	4508
346	2391	4500
347	2399	4496
348	2406	4489
349	2413	4482
350	2420	4474
351	2426	4467
352	2433	4459
353	2439	4452
354	2446	4444
355	2452	4437
356	2459	4429
357	2466	4423
358	2473	4415
359	2480	4409
360	2486	4401
361	2494	4395
362	2501	4389
363	2508	4382
364	2515	4376
365	2521	4368
366	2528	4361
367	2535	4353
368	2541	4345
369	2548	4339
370	2554	4331
371	2561	4324
372	2568	4317
373	2574	4309
374	2581	4302
375	2588	4295
376	2594	4288
377	2601	4280
378	2607	4272
379	2614	4265
380	2620	4258
381	2627	4250
382	2633	4243
383	2640	4235
384	2647	4228
385	2653	4221
386	2660	4214
387	2667	4207
388	2674	4201
389	2681	4193
390	2687	4185
391	2694	4179
392	2700	4171
393	2707	4164
394	2714	4157
395	2720	4149
396	2727	4142
397	2733	4135
398	2740	4128
399	2747	4120
400	2753	4113
401	2760	4107
402	2767	4099
403	2774	4092
404	2780	4085
405	2787	4077
406	2794	4071
407	2800	4063
408	2807	4056
409	2813	4049
410	2820	4042
411	2827	4036
412	2834	4028
413	2841	4022
414	2849	4016
415	2855	4009
416	2862	4002
417	2869	3994
418	2876	3988
419	2882	3981
420	2889	3974
421	2896	3966
422	2902	3959
423	2909	3952
424	2915	3944
425	2923	3938
426	2929	3931
427	2936	3923
428	2942	3916
429	2949	3909
430	2956	3902
431	2962	3895
432	2969	3887
433	2975	3881
434	2982	3873
435	2989	3866
436	2995	3859
437	3001	3851
438	3008	3844
439	3014	3837
440	3021	3830
441	3029	3824
442	3037	3818
443	3045	3813
444	3053	3808
445	3061	3802
446	3069	3797
447	3077	3791
448	3083	3784
449	3092	3779
450	3099	3773
451	3108	3768
452	3115	3762
453	3123	3756
454	3130	3749
455	3138	3744
456	3146	3738
457	3154	3733
458	3163	3728
459	3171	3723
460	3179	3717
461	3187	3712
462	3195	3706
463	3204	3701
464	3211	3694
465	3219	3689
466	3227	3683
467	3234	3677
468	3242	3670
469	3249	3664
470	3256	3657
471	3263	3650
472	3271	3645
473	3279	3639
474	3287	3633
475	3294	3626
476	3302	3620
477	3310	3614
478	3317	3608
479	3325	3602
480	3332	3595
481	3339	3589
482	3346	3581
483	3354	3576
484	3361	3569
485	3369	3563
486	3376	3556
487	3383	3550
488	3390	3543
489	3399	3537
490	3406	3531
491	3413	3524
492	3421	3518
493	3428	3511
494	3435	3505
495	3442	3497
496	3449	3491
497	3456	3484
498	3463	3476
499	3470	3470
500	3476	3463
501	3484	3456
502	3490	3449
503	3498	3442
504	3505	3436
505	3512	3429
506	3520	3422
507	3526	3415
508	3533	3408
509	3540	3401
510	3547	3395
511	3554	3387
512	3561	3380
513	3568	3374
514	3575	3367
515	3582	3360
516	3589	3353
517	3596	3346
518	3602	3339
519	3609	3331
520	3616	3325
521	3623	3318
522	3631	3311
523	3639	3306
524	3647	3300
525	3655	3294
526	3663	3288
527	3670	3281
528	3677	3274
529	3684	3267
530	3691	3260
531	3698	3253
532	3705	3246
533	3713	3240
534	3720	3234
535	3728	3228
536	3736	3221
537	3742	3214
538	3750	3207
539	3757	3200
540	3764	3194
541	3771	3187
542	3778	3180
543	3786	3173
544	3794	3167
545	3800	3160
546	3807	3152
547	3814	3146
548	3821	3139
549	3840	3142
550	3847	3135
551	3857	3130
552	3864	3123
553	3871	3116
554	3878	3109
555	3884	3102
556	3890	3094
557	3897	3087
558	3904	3080
559	3911	3073
560	3917	3065
561	3924	3058
562	3931	3051
563	3937	3043
564	3944	3036
565	3950	3029
566	3957	3021
567	3964	3015
568	3971	3008
569	3979	3001
570	3986	2994
571	3993	2987
572	3999	2980
573	4006	2973
574	4013	2966
575	4019	2958
576	4026	2952
577	4033	2944
578	4039	2937
579	4046	2930
580	4052	2922
581	4059	2915
582	4065	2908
583	4072	2900
584	4079	2893
585	4085	2886
586	4092	2879
587	4099	2872
588	4106	2865
589	4112	2857
590	4119	2850
591	4126	2844
592	4133	2836
593	4140	2830
594	4147	2823
595	4155	2816
596	4162	2810
597	4169	2803
598	4178	2797
599	4186	2790
600	4193	2784
601	4201	2777
602	4208	2770
603	4215	2764
604	4223	2757
605	4230	2750
606	4238	2744
607	4244	2736
608	4250	2729
609	4257	2722
610	4265	2715
611	4273	2709
612	4280	2702
613	4287	2695
614	4294	2688
615	4301	2681
616	4308	2674
617	4314	2667
618	4321	2660
619	4328	2652
620	4335	2645
621	4342	2639
622	4349	2632
623	4357	2625
624	4364	2618
625	4371	2611
626	4378	2604
627	4385	2597
628	4392	2590
629	4399	2583
630	4406	2577
631	4413	2569
632	4420	2562
633	4427	2555
634	4433	2548
635	4440	2541
636	4447	2534
637	4454	2527
638	4460	2520
639	4467	2512
640	4474	2506
641	4480	2498
642	4488	2491
643	4494	2484
644	4502	2478
645	4510	2471
646	4518	2465
647	4527	2459
648	4535	2452
649	4542	2445
650	4549	2438
651	4557	2432
652	4564	2425
653	4571	2418
654	4578	2411
655	4585	2404
656	4591	2397
657	4598	2390
658	4605	2383
659	4611	2375
660	4618	2368
661	4625	2361
662	4631	2354
663	4638	2347
664	4645	2340
665	4652	2333
666	4658	2325
667	4665	2318
668	4672	2311
669	4678	2304
670	4685	2297
671	4692	2290
672	4698	2283
673	4705	2275
674	4711	2268
675	4718	2261
676	4725	2254
677	4732	2247
678	4738	2240
679	4745	2233
680	4752	2225
681	4758	2218
682	4765	2211
683	4772	2204
684	4778	2197
685	4786	2190
686	4793	2183
687	4801	2177
688	4809	2170
689	4816	2164
690	4823	2157
691	4830	2150
692	4837	2143
693	4844	2135
694	4851	2128
695	4857	2121
696	4865	2114
697	4871	2107
698	4878	2100
699	4886	2094
700	4893	2087
701	4901	2080
702	4908	2073
703	4915	2066
704	4922	2059
705	4929	2052
706	4936	2045
707	4943	2038
708	4950	2032
709	4957	2024
710	4964	2018
711	4971	2010
712	4978	2003
713	4984	1996
714	4991	1989
715	4998	1982
716	5005	1975
717	5012	1968
718	5018	1961
719	5025	1954
720	5031	1947
721	5038	1940
722	5045	1933
723	5053	1926
724	5059	1919
725	5066	1912
726	5073	1905
727	5079	1897
728	5086	1890
729	5092	1883
730	5100	1876
731	5106	1869
732	5114	1862
733	5120	1855
734	5127	1848
735	5134	1841
736	5140	1834
737	5147	1827
738	5154	1820
739	5161	1813
740	5168	1806
741	5174	1799
742	5181	1792
743	5188	1785
744	5194	1778
745	5201	1770
746	5207	1763
747	5214	1756
748	5220	1749
749	5227	1742
750	5234	1735
751	5240	1728
752	5247	1721
753	5255	1714
754	5263	1707
755	5270	1701
756	5279	1694
757	5285	1687
758	5293	1680
759	5299	1673
760	5306	1666
761	5313	1659
762	5320	1652
763	5327	1645
764	5334	1638
765	5341	1631
766	5348	1624
767	5355	1617
768	5363	1611
769	5370	1604
770	5378	1597
771	5385	1590
772	5394	1584
773	5402	1577
774	5410	1570
775	5417	1563
776	5424	1556
777	5432	1550
778	5439	1543
779	5446	1536
780	5453	1529
781	5460	1522
782	5468	1515
783	5475	1508
784	5483	1501
785	5490	1494
786	5497	1487
787	5504	1480
788	5513	1474
789	5520	1467
790	5528	1460
791	5536	1453
792	5543	1447
793	5550	1440
794	5557	1433
795	5565	1426
796	5572	1419
797	5579	1412
798	5585	1405
799	5593	1398
800	5599	1391
801	5606	1384
802	5613	1377
803	5619	1370
804	5626	1362
805	5633	1355
806	5640	1349
807	5647	1341
808	5654	1335
809	5661	1328
810	5668	1321
811	5676	1314
812	5683	1307
813	5690	1300
814	5697	1293
815	5704	1286
816	5711	1279
817	5719	1272
818	5725	1265
819	5732	1258
820	5740	1251
821	5746	1244
822	5754	1237
823	5761	1230
824	5768	1223
825	5775	1216
826	5782	1209
827	5790	1202
828	5796	1195
829	5804	1188
830	5810	1181
831	5817	1174
832	5823	1167
833	5830	1160
834	5836	1153
835	5843	1146
836	5850	1139
837	5857	1132
838	5864	1125
839	5871	1118
840	5878	1111
841	5885	1104
842	5892	1097
843	5898	1090
844	5905	1083
845	5912	1076
846	5918	1069
847	5925	1062
848	5931	1055
849	5938	1048
850	5945	1040
851	5951	1033
852	5958	1026
853	5964	1019
854	5971	1012
855	5978	1005
856	5984	998
857	5991	991
858	5998	984
859	6005	977
860	6012	970
861	6019	963
862	6025	956
863	6032	949
864	6040	942
865	6046	935
866	6053	928
867	6059	921
868	6067	914
869	6073	907
870	6080	900
871	6086	893
872	6093	886
873	6100	879
874	6106	872
875	6113	865
876	6120	858
877	6126	851
878	6133	844
879	6139	837
880	6146	830
881	6153	823
882	6160	816
883	6168	809
884	6175	802
885	6182	795
886	6189	788
887	6196	781
888	6204	774
889	6211	767
890	6218	760
891	6226	753
892	6233	746
893	6241	740
894	6249	733
895	6256	726
896	6263	719
897	6270	712
898	6277	705
899	6284	698
900	6290	691
901	6297	684
902	6303	677
903	6310	670
904	6317	663
905	6323	656
906	6330	649
907	6336	642
908	6343	635
909	6350	628
910	6356	621
911	6363	614
912	6370	607
913	6377	600
914	6384	593
915	6392	586
916	6399	579
917	6405	572
918	6412	565
919	6418	558
920	6425	551
921	6431	544
922	6438	537
923	6444	530
924	6451	523
925	6457	516
926	6465	509
927	6471	502
928	6478	495
929	6484	488
930	6491	481
931	6498	474
932	6504	467
933	6511	460
934	6517	453
935	6524	446
936	6531	439
937	6538	432
938	6545	425
939	6551	418
940	6558	411
941	6565	404
942	6572	397
943	6579	390
944	6585	383
945	6592	376
946	6599	369
947	6605	362
948	6612	355
949	6619	348
950	6625	341
951	6632	334
952	6639	327
953	6645	320
954	6652	313
955	6659	306
956	6666	299
957	6672	292
958	6679	285
959	6685	278
960	6692	271
961	6699	264
962	6705	257
963	6712	250
964	6718	243
965	6725	236
966	6732	229
967	6738	222
968	6745	215
969	6752	208
970	6758	201
971	6765	194
972	6772	187
973	6778	180
974	6785	173
975	6792	167
976	6798	160
977	6805	153
978	6812	146
979	6818	139
980	6825	132
981	6831	125
982	6838	118
983	6845	111
984	6851	104
985	6859	97
986	6865	90
987	6873	83
988	6879	76
989	6886	69
990	6892	62
991	6899	55
992	6906	48
993	6912	41
994	6918	34
995	6925	27
996	6932	20
997	6939	13
998	6945	6
999	6952	0
